regionA,regionB
TC,PRh
TC,EC
TC,ACC
TC,VC
TC,DG
TC,CA3
TC,CeA
VC,DG
VC,CeA
DG,PRh
DG,EC
DG,PL
DG,IL
DG,ACC
DG,MPOA
DG,LA
DG,BLA
DG,CeA
DG,CA1
DG,CA3
CA3,PRh
CA3,OB
CA3,PL
CA3,IL
CA3,ACC
CA3,MPOA
CA3,LA
CA3,BLA
CA3,CeA
CA3,CA1
CA1,PRh
CA1,PL
CA1,IL
CA1,ACC
CA1,MPOA
CA1,LA
CA1,BLA
CA1,CeA
CeA,PRh
CeA,ACC
BLA,OB
BLA,PL
BLA,ACC
BLA,LA
LA,EC
LA,IL
LA,MPOA
MPOA,EC
MPOA,IL
ACC,PRh
ACC,EC
ACC,PL
PL,OB
EC,PRh
